Time,Weather
32:35.1,Rain
32:39.0,Wind
32:46.1,Normal
32:48.1,Snow
32:57.0,Rain
33:00.0,Wind
33:08.0,Normal
33:10.0,Snow
33:17.0,Rain
33:27.0,Wind
33:32.0,Normal
33:54.1,Snow
33:56.1,Rain
33:57.0,Snow
34:04.0,Rain
34:05.0,Wind
34:07.1,Normal
34:08.0,Snow
34:11.1,Rain
34:12.0,Wind
34:13.1,Normal
34:18.0,Snow
34:37.1,Rain
34:40.0,Wind
34:56.1,Normal
35:00.1,Snow
35:15.0,Rain
35:19.1,Wind
35:22.0,Normal
35:23.0,Snow
35:25.1,Rain
35:27.0,Wind
35:28.0,Normal
35:38.1,Snow
36:14.0,Rain
36:16.0,Wind
36:41.0,Normal
36:47.0,Snow
36:59.0,Rain
37:06.1,Wind
37:07.0,Normal
37:13.0,Snow
37:54.0,Rain
37:56.0,Wind
38:00.0,Normal
38:08.0,Snow
38:16.0,Rain
38:59.0,Wind
39:04.0,Normal
39:15.0,Snow
39:18.1,Rain
39:19.0,Wind
39:22.0,Normal
39:24.1,Snow
39:27.0,Rain
39:34.1,Snow
39:41.0,Rain
39:46.0,Wind
40:01.0,Normal
40:26.1,Snow
40:28.0,Rain
40:39.0,Wind
40:42.1,Normal
40:43.0,Snow
40:47.1,Rain
40:58.1,Wind
41:07.0,Normal
41:27.0,Snow
41:36.0,Rain
41:36.0,Wind
41:54.0,Normal
41:56.0,Snow
42:01.1,Rain
42:04.1,Wind
42:08.1,Normal
42:09.0,Snow
42:13.1,Rain
42:21.0,Wind
42:46.1,Normal
42:50.0,Snow
43:13.1,Rain
43:23.1,Wind
43:25.1,Normal
43:29.1,Snow
43:48.1,Rain
43:52.1,Wind
44:08.0,Normal
44:14.1,Snow
44:20.0,Rain
44:36.0,Wind
44:38.1,Normal
44:42.0,Snow
44:43.1,Rain
44:51.0,Wind
44:54.1,Normal
45:20.0,Snow
45:39.1,Rain
45:59.0,Snow
46:02.1,Rain
46:06.1,Wind
46:25.0,Normal
46:32.0,Snow
46:37.0,Rain
46:41.1,Wind
47:18.0,Normal
47:19.1,Snow
47:23.0,Rain
47:26.1,Wind
47:30.1,Normal
47:40.0,Snow
47:45.0,Rain
47:49.1,Wind
47:50.1,Normal
47:55.0,Snow
48:17.0,Rain
48:42.0,Wind
48:48.1,Normal
49:00.0,Snow
49:09.0,Rain
49:09.1,Wind
49:30.0,Normal
49:33.0,Snow
49:53.1,Rain
50:01.1,Wind
50:06.0,Normal
50:09.0,Snow
50:16.0,Rain
50:29.0,Wind
50:42.0,Normal
51:15.1,Snow
51:33.1,Rain
51:36.1,Wind
51:54.0,Normal
52:01.1,Snow
52:10.1,Rain
52:45.0,Wind
52:55.0,Normal
53:11.0,Snow
53:12.0,Rain
53:31.0,Snow
53:59.0,Rain
54:04.0,Wind
54:06.0,Normal
54:19.1,Snow
54:25.1,Rain
54:31.0,Wind
54:39.1,Normal
54:57.0,Snow
55:02.1,Rain
55:11.0,Wind
55:21.1,Normal
55:22.0,Snow
55:24.0,Rain
55:24.1,Wind
55:26.0,Normal
55:26.1,Snow
55:28.0,Rain
55:34.0,Wind
56:08.1,Normal
56:19.1,Snow
57:27.0,Rain
57:30.1,Wind
57:48.0,Normal
57:59.0,Snow
58:02.0,Rain
58:17.0,Wind
58:27.0,Normal
58:34.1,Snow
58:56.1,Rain
58:59.0,Wind
59:18.0,Normal
59:21.0,Snow
59:23.0,Rain
00:10.1,Wind
00:23.1,Normal
00:24.1,Snow
00:39.0,Rain
00:41.0,Wind
00:41.1,Normal
00:42.1,Snow
00:43.0,Rain
00:43.1,Snow
00:44.0,Rain
00:45.1,Wind
00:46.0,Normal
00:49.0,Snow
00:50.0,Rain
00:50.0,Wind
00:52.1,Normal
00:57.0,Snow
01:10.0,Rain
01:12.0,Wind
01:16.1,Normal
01:17.1,Snow
01:38.0,Rain
01:40.0,Wind
01:41.0,Normal
01:48.0,Snow
01:53.1,Rain
01:57.0,Wind
01:57.1,Normal
01:59.0,Snow
02:02.0,Rain
02:03.0,Wind
02:03.0,Normal
02:04.0,Snow
02:08.0,Rain
02:12.0,Wind
02:14.1,Normal
02:18.1,Snow
02:23.0,Rain
02:48.1,Wind
02:50.0,Normal
03:02.0,Snow
03:04.0,Rain
03:16.0,Wind
03:18.0,Normal
03:22.1,Snow
03:23.0,Rain
03:24.0,Wind
03:25.0,Normal
03:25.0,Snow
03:26.0,Rain
03:26.1,Snow
03:28.0,Rain
03:28.0,Wind
03:37.0,Normal
03:37.0,Snow
03:38.1,Rain
03:42.1,Wind
03:44.1,Normal
03:48.1,Snow
03:49.1,Rain
03:50.1,Wind
03:52.0,Normal
03:55.0,Snow
03:57.0,Rain
03:59.0,Wind
03:59.0,Normal
04:08.0,Snow
04:11.0,Rain
04:15.1,Wind
04:17.0,Normal
04:18.1,Snow
04:36.0,Rain
04:40.1,Wind
04:41.1,Normal
04:42.0,Snow
04:46.0,Rain
04:52.0,Wind
04:54.0,Normal
04:55.0,Snow
04:58.0,Rain
05:00.1,Wind
05:05.0,Normal
05:09.0,Snow
05:13.0,Rain
05:13.1,Wind
05:15.1,Normal
05:20.0,Snow
05:41.0,Rain
05:43.1,Wind
05:45.1,Normal
06:03.0,Snow
06:04.1,Rain
06:05.0,Snow
06:07.1,Rain
06:17.1,Wind
06:25.0,Normal
06:28.0,Snow
06:29.0,Rain
06:29.1,Wind
06:40.1,Normal
06:47.0,Snow
07:06.1,Rain
07:09.0,Wind
07:09.1,Normal
07:10.1,Snow
07:17.0,Rain
07:19.0,Wind
07:20.0,Normal
07:20.0,Snow
07:25.0,Rain
07:26.1,Wind
07:27.1,Normal
07:27.1,Snow
07:28.0,Rain
07:30.1,Wind
07:35.0,Normal
07:38.0,Snow
07:46.1,Rain
07:55.1,Wind
07:56.1,Normal
07:57.1,Snow
08:03.0,Rain
08:10.1,Wind
08:15.0,Normal
08:17.1,Snow
08:19.0,Rain
08:27.0,Wind
08:29.0,Normal
08:33.1,Snow
08:34.1,Rain
08:50.1,Wind
08:52.0,Normal
08:52.1,Snow
08:54.0,Rain
08:54.0,Snow
08:56.0,Rain
08:56.0,Wind
08:58.0,Normal
09:06.1,Snow
09:08.0,Rain
09:19.0,Wind
09:25.1,Normal
09:28.1,Snow
09:30.0,Rain
09:38.0,Wind
09:39.1,Normal
09:40.0,Snow
09:45.0,Rain
09:56.0,Wind
09:58.1,Normal
10:01.0,Snow
10:01.0,Rain
10:03.0,Wind
10:05.0,Normal
10:11.1,Snow
10:11.1,Rain
10:14.0,Wind
10:20.0,Normal
10:24.0,Snow
10:31.1,Rain
10:46.0,Wind
10:49.0,Normal
10:53.0,Snow
10:55.1,Rain
10:59.0,Wind
11:01.0,Normal
11:07.1,Snow
11:10.0,Rain
11:14.0,Wind
11:14.1,Normal
11:19.1,Snow
11:22.0,Rain
11:23.1,Wind
11:24.0,Normal
11:27.0,Snow
11:27.1,Rain
11:30.0,Snow
11:31.0,Rain
11:34.1,Wind
11:45.1,Normal
11:45.1,Snow
11:51.0,Rain
11:59.1,Wind
12:05.0,Normal
12:15.0,Snow
12:22.0,Rain
12:24.1,Wind
12:24.1,Normal
12:35.0,Snow
12:35.0,Rain
12:36.0,Wind
12:38.1,Normal
12:41.0,Snow
12:49.0,Rain
12:54.0,Wind
12:55.1,Normal
12:56.0,Snow
12:56.1,Rain
13:00.0,Wind
13:03.1,Normal
13:13.0,Snow
13:32.0,Rain
13:33.0,Wind
13:59.0,Normal
14:04.1,Snow
14:05.1,Rain
14:05.1,Wind
14:07.1,Normal
14:08.1,Snow
14:08.1,Rain
14:10.0,Wind
14:13.0,Normal
14:15.0,Snow
14:16.1,Rain
14:17.0,Wind
14:19.0,Normal
14:19.1,Snow
14:20.0,Rain
14:26.1,Snow
14:31.0,Rain
14:40.1,Wind
14:56.0,Normal
15:16.0,Snow
15:20.0,Rain
15:23.1,Wind
15:26.1,Normal
15:28.0,Snow
15:32.1,Rain
15:40.1,Wind
15:42.0,Normal
15:51.1,Snow
15:57.0,Rain
16:01.0,Wind
16:03.0,Normal
16:14.0,Snow
16:18.1,Rain
16:21.0,Wind
16:24.0,Normal
16:40.0,Snow
16:41.0,Rain
16:43.1,Wind
16:44.0,Normal
16:51.1,Snow
16:52.0,Rain
16:57.0,Wind
16:58.0,Normal
17:04.0,Snow
17:07.0,Rain
17:07.0,Wind
17:08.0,Normal
17:09.1,Snow
17:12.0,Rain
17:12.1,Wind
17:13.0,Normal
17:16.0,Snow
17:22.0,Rain
17:24.1,Wind
17:25.0,Normal
17:27.1,Snow
17:44.1,Rain
17:47.0,Snow
17:48.0,Rain
18:07.0,Wind
18:11.1,Normal
18:15.0,Snow
18:24.0,Rain
18:28.1,Wind
18:35.0,Normal
18:37.0,Snow
18:40.1,Rain
18:43.1,Wind
18:48.1,Normal
18:52.1,Snow
19:06.1,Rain
19:19.1,Wind
19:21.0,Normal
19:23.0,Snow
19:23.0,Rain
19:24.0,Wind
19:25.0,Normal
19:25.1,Snow
19:26.0,Rain
19:27.1,Wind
19:29.1,Normal
19:31.0,Snow
19:31.0,Rain
19:34.0,Wind
19:42.0,Normal
19:47.0,Snow
20:08.1,Rain
20:11.0,Wind
20:15.0,Normal
20:18.1,Snow
20:18.1,Rain
20:23.0,Wind
20:38.0,Normal
20:41.1,Snow
20:43.0,Rain
20:43.0,Wind
20:50.0,Normal
20:50.1,Snow
20:52.0,Rain
20:56.0,Snow
21:01.1,Rain
21:06.0,Wind
21:13.1,Normal
21:17.1,Snow
21:18.0,Rain
21:20.0,Wind
21:33.0,Normal
21:40.1,Snow
21:55.1,Rain
22:02.0,Wind
22:05.1,Normal
22:08.0,Snow
22:09.0,Rain
22:09.1,Wind
22:11.0,Normal
22:13.1,Snow
22:16.0,Rain
22:16.0,Wind
22:22.0,Normal
22:26.1,Snow
22:33.1,Rain
22:41.0,Wind
22:43.0,Normal
22:46.0,Snow
22:49.0,Rain
22:59.1,Wind
23:00.0,Normal
23:00.1,Snow
23:03.0,Rain
23:07.0,Wind
23:08.0,Normal
23:24.0,Snow
23:25.1,Rain
23:27.0,Wind
23:34.0,Normal
23:38.1,Snow
23:41.0,Rain
23:53.0,Wind
23:54.1,Normal
23:55.0,Snow
23:57.1,Rain
24:00.1,Snow
24:03.0,Rain
24:05.0,Wind
24:12.0,Normal
24:15.1,Snow
24:16.1,Rain
24:18.1,Wind
24:36.0,Normal
24:39.1,Snow
24:40.0,Rain
24:41.0,Wind
24:41.0,Normal
24:44.1,Snow
24:45.0,Rain
24:46.1,Wind
24:50.0,Normal
25:21.0,Snow
25:31.0,Rain
25:36.1,Wind
25:38.0,Normal
25:40.0,Snow
25:41.0,Rain
25:57.0,Wind
26:06.1,Normal
26:07.0,Snow
26:07.1,Rain
26:13.0,Wind
26:15.0,Normal
26:22.0,Snow
26:24.0,Rain
26:35.0,Wind
26:45.0,Normal
26:53.0,Snow
27:01.0,Rain
27:02.0,Wind
27:13.1,Normal
27:19.1,Snow
27:22.1,Rain
27:26.0,Wind
27:27.0,Normal
27:27.1,Snow
27:30.0,Rain
27:46.0,Snow
27:51.0,Rain
28:07.0,Wind
28:14.0,Normal
28:23.1,Snow
28:25.0,Rain
28:33.1,Wind
28:38.0,Normal
28:48.1,Snow
28:52.1,Rain
28:58.1,Wind
29:01.0,Normal
29:05.0,Snow
29:08.0,Rain
29:11.0,Wind
29:15.0,Normal
29:52.0,Snow
29:57.1,Rain
29:59.1,Wind
30:03.0,Normal
30:05.1,Snow
30:06.1,Rain
30:07.1,Wind
30:12.1,Normal
30:16.0,Snow
30:31.1,Rain
30:47.1,Wind
30:56.0,Normal
31:03.1,Snow
31:17.1,Rain
31:19.0,Wind
31:19.0,Normal
31:24.0,Snow
31:26.1,Rain
31:27.1,Wind
31:30.0,Normal
31:31.1,Snow
31:35.0,Rain
31:41.1,Wind
31:43.0,Normal
31:54.0,Snow
32:13.0,Rain
32:18.0,Snow
32:40.0,Rain
32:46.0,Wind
32:46.1,Normal
32:50.1,Snow
32:51.0,Rain
32:53.1,Wind
33:09.0,Normal
33:23.1,Snow
33:33.0,Rain
33:34.0,Wind
33:38.1,Normal
33:42.0,Snow
33:45.1,Rain
33:47.1,Wind
33:50.0,Normal
34:02.1,Snow
34:03.0,Rain
34:08.1,Wind
34:14.0,Normal
34:15.0,Snow
34:15.1,Rain
34:18.1,Wind
34:22.0,Normal
34:25.1,Snow
34:29.1,Rain
34:34.1,Wind
34:54.1,Normal
34:55.1,Snow
35:05.0,Rain
35:10.0,Wind
35:14.0,Normal
35:19.0,Snow
35:24.0,Rain
35:25.1,Wind
35:33.0,Normal
35:35.0,Snow
35:47.1,Rain
35:55.1,Wind
36:15.0,Normal
36:33.0,Snow
36:45.0,Rain
36:46.0,Snow
36:50.1,Rain
36:51.0,Wind
36:52.1,Normal
37:15.1,Snow
37:32.1,Rain
37:40.0,Wind
37:55.0,Normal
37:59.0,Snow
37:59.0,Rain
38:04.0,Wind
38:05.0,Normal
38:09.1,Snow
38:13.1,Rain
38:23.0,Wind
38:26.1,Normal
38:28.1,Snow
38:29.0,Rain
38:48.0,Wind
38:59.0,Normal
39:01.1,Snow
39:05.1,Rain
39:05.1,Wind
39:14.1,Normal
39:16.0,Snow
39:20.0,Rain
39:21.0,Wind
39:27.1,Normal
39:32.0,Snow
39:32.1,Rain
40:02.0,Wind
40:05.0,Normal
40:10.0,Snow
40:12.1,Rain
40:25.0,Wind
40:42.1,Normal
40:44.0,Snow
40:44.0,Rain
40:47.1,Wind
41:01.1,Normal
41:08.0,Snow
41:09.0,Rain
41:13.1,Snow
41:16.0,Rain
41:31.1,Wind
41:37.1,Normal
41:42.0,Snow
41:44.1,Rain
41:48.0,Wind
42:00.0,Normal
42:02.0,Snow
42:08.0,Rain
42:10.0,Wind
42:11.0,Normal
42:18.1,Snow
42:19.0,Rain
42:20.0,Wind
42:21.0,Normal
42:22.0,Snow
42:23.0,Rain
42:37.1,Wind
42:39.1,Normal
42:54.1,Snow
42:59.0,Rain
43:00.0,Wind
43:17.0,Normal
43:22.1,Snow
43:24.0,Rain
43:27.1,Wind
43:31.0,Normal
43:36.0,Snow
43:36.1,Rain
43:38.0,Wind
43:51.0,Normal
43:52.1,Snow
44:02.0,Rain
44:31.1,Wind
44:36.1,Normal
44:38.0,Snow
44:40.1,Rain
44:46.0,Wind
44:48.0,Normal
44:50.1,Snow
44:51.0,Rain
44:51.0,Snow
44:51.0,Rain
44:52.0,Wind
44:55.1,Normal
45:26.0,Snow
45:26.1,Rain
45:32.0,Wind
45:33.0,Normal
45:39.0,Snow
45:39.1,Rain
46:03.1,Wind
46:07.0,Normal
46:09.1,Snow
46:11.1,Rain
46:14.1,Wind
46:17.0,Normal
46:48.0,Snow
46:48.1,Rain
46:54.0,Wind
47:13.0,Normal
47:13.0,Snow
47:24.0,Rain
47:27.0,Wind
47:28.1,Normal
47:29.0,Snow
47:31.0,Rain
47:31.0,Wind
47:33.1,Normal
48:06.0,Snow
48:15.1,Rain
48:21.0,Wind
48:29.0,Normal
48:37.1,Snow
48:39.0,Rain
48:39.1,Wind
48:45.1,Normal
48:46.0,Snow
48:48.1,Rain
49:02.0,Wind
49:06.0,Normal
49:08.1,Snow
49:09.0,Rain
49:09.0,Snow
49:10.1,Rain
49:16.0,Wind
49:24.0,Normal
49:25.0,Snow
49:28.0,Rain
49:29.0,Wind
49:30.0,Normal
49:33.0,Snow
49:38.1,Rain
49:57.0,Wind
49:58.0,Normal
49:59.0,Snow
50:00.1,Rain
50:07.0,Wind
50:21.0,Normal
50:24.0,Snow
50:29.0,Rain
50:31.0,Wind
50:37.1,Normal
50:45.1,Snow
50:47.1,Rain
50:51.1,Wind
51:24.1,Normal
51:36.0,Snow
51:46.1,Rain
51:52.0,Wind
52:52.0,Normal
53:12.0,Snow
53:14.1,Rain
53:32.1,Wind
55:34.1,Normal
55:37.0,Snow
55:38.1,Rain
55:55.0,Wind
56:10.0,Normal
56:47.1,Snow
56:48.0,Rain
56:49.1,Wind
56:53.1,Normal
57:29.1,Snow
57:31.1,Rain
57:35.0,Snow
57:48.1,Rain
58:10.0,Wind
59:03.0,Normal
59:25.0,Snow
59:31.0,Rain
59:40.0,Wind
59:44.1,Normal
00:00.3,Snow
00:39.1,Rain
01:24.0,Wind
02:05.1,Normal
02:17.0,Snow
02:18.1,Rain
02:19.0,Wind
02:24.1,Normal
03:52.1,Snow
04:27.0,Rain
04:40.1,Wind
04:45.1,Normal
04:51.1,Snow
05:01.1,Rain
05:57.0,Wind
06:01.0,Normal
07:05.1,Snow
07:20.1,Rain
07:24.1,Wind
07:53.1,Normal
07:58.0,Snow
08:17.0,Rain
08:41.1,Wind
09:12.1,Normal
09:23.0,Snow
10:07.0,Rain
10:29.0,Wind
10:31.1,Normal
10:33.1,Snow
11:18.1,Rain
11:22.1,Wind
11:38.0,Normal
11:44.0,Snow
11:59.0,Rain
12:10.0,Snow
13:10.0,Rain
14:05.1,Wind
14:11.0,Normal
14:35.1,Snow
14:51.1,Rain
14:57.0,Wind
15:23.0,Normal
15:26.0,Snow
15:30.0,Rain
15:36.0,Wind
16:29.0,Normal
16:41.0,Snow
16:48.0,Rain
16:59.0,Wind
18:00.0,Normal
18:07.0,Snow
18:14.0,Rain
18:31.0,Wind
18:33.1,Normal
19:23.0,Snow
20:39.1,Rain
20:42.1,Wind
21:29.0,Normal
22:29.0,Snow
23:13.0,Rain
23:17.0,Wind
23:18.0,Normal
23:20.0,Snow
23:46.0,Rain
23:52.1,Wind
24:41.1,Normal
24:49.0,Snow
24:57.1,Rain
25:10.1,Wind
25:38.1,Normal
25:46.0,Snow
26:01.0,Rain
26:22.0,Wind
27:25.0,Normal
27:29.1,Snow
27:33.0,Rain
27:42.0,Snow
27:47.0,Rain
27:51.1,Wind
28:40.1,Normal
28:41.0,Snow
28:45.0,Rain
28:49.0,Wind
28:51.0,Normal
29:26.1,Snow
29:58.0,Rain
30:14.1,Wind
30:56.0,Normal
31:04.0,Snow
31:20.0,Rain
31:40.0,Wind
31:41.0,Normal
32:22.0,Snow
32:30.0,Rain
32:45.0,Wind
33:05.0,Normal
33:30.0,Snow
33:58.0,Rain
33:59.1,Wind
34:03.0,Normal
34:43.1,Snow
34:51.0,Rain
35:18.1,Wind
35:30.0,Normal
35:38.0,Snow
36:38.1,Rain
36:43.0,Wind
37:57.0,Normal
38:12.0,Snow
38:13.0,Rain
38:14.0,Wind
38:16.0,Normal
38:23.1,Snow
38:49.1,Rain
39:40.0,Wind
39:53.0,Normal
39:58.0,Snow
40:19.1,Rain
40:34.1,Snow
40:39.1,Rain
40:42.1,Wind
40:46.0,Normal
41:03.0,Snow
41:09.0,Rain
41:59.1,Wind
42:14.1,Normal
42:24.1,Snow
42:30.0,Rain
42:38.0,Wind
42:38.0,Normal
43:04.0,Snow
44:16.1,Rain
44:28.0,Wind
44:41.1,Normal
45:35.1,Snow
45:56.0,Rain
45:59.1,Wind
46:41.0,Normal
46:48.0,Snow
47:14.1,Rain
47:51.0,Wind
47:58.0,Normal
48:04.0,Snow
48:33.1,Rain
48:35.1,Wind
48:41.0,Normal
48:43.0,Snow
49:09.0,Rain
50:00.0,Wind
50:01.0,Normal
50:03.1,Snow
50:05.0,Rain
50:32.1,Wind
51:38.1,Normal
52:55.0,Snow
53:38.0,Rain
53:59.0,Wind
54:11.1,Normal
54:20.0,Snow
54:22.0,Rain
54:32.1,Snow
55:28.1,Rain
55:32.1,Wind
56:20.1,Normal
56:32.0,Snow
56:53.0,Rain
57:39.1,Wind
57:41.1,Normal
57:56.1,Snow
58:25.0,Rain
00:40.1,Wind
00:49.1,Normal
00:55.1,Snow
01:14.1,Rain
02:02.0,Wind
02:56.0,Normal
03:18.0,Snow
04:41.0,Rain
04:42.0,Wind
05:05.0,Normal
05:32.0,Snow
06:02.0,Rain
06:22.0,Wind
06:34.1,Normal
07:26.0,Snow
07:27.0,Rain
07:41.0,Wind
08:04.1,Normal
08:11.0,Snow
08:28.0,Rain
10:07.0,Wind
10:25.1,Normal
10:29.1,Snow
10:52.1,Rain
11:00.0,Wind
11:19.0,Normal
11:28.0,Snow
11:42.0,Rain
12:36.1,Wind
12:40.0,Normal
12:48.0,Snow
13:01.0,Rain
13:15.1,Snow
13:25.0,Rain
14:06.1,Wind
14:07.0,Normal
14:11.0,Snow
14:23.0,Rain
14:26.1,Wind
14:27.0,Normal
14:40.0,Snow
14:40.1,Rain
15:11.0,Wind
15:24.0,Normal
15:26.2,Snow
15:44.0,Rain
17:54.0,Wind
17:55.1,Normal
18:03.0,Snow
18:10.0,Rain
19:25.1,Wind
19:39.0,Normal
20:08.1,Snow
20:16.0,Rain
20:37.1,Wind
20:57.0,Normal
21:57.0,Snow
22:03.0,Rain
22:52.0,Wind
23:05.0,Normal
23:12.0,Snow
23:15.1,Rain
23:42.0,Wind
23:54.0,Normal
24:08.1,Snow
24:14.0,Rain
24:35.0,Wind
24:35.0,Normal
24:42.1,Snow
25:06.0,Rain
25:46.1,Wind
25:57.0,Normal
26:03.1,Snow
26:06.0,Rain
26:06.0,Snow
27:23.0,Rain
27:27.0,Wind
27:40.1,Normal
27:49.0,Snow
27:58.0,Rain
28:29.0,Wind
28:34.0,Normal
28:43.0,Snow
29:23.0,Rain
30:01.1,Wind
30:04.1,Normal
31:17.0,Snow
31:19.0,Rain
31:26.1,Wind
31:26.1,Normal
31:28.0,Snow
31:30.0,Rain
31:33.0,Wind
31:51.0,Normal
32:17.1,Snow
32:41.0,Rain
32:42.0,Wind
32:51.1,Normal
33:59.1,Snow
34:10.0,Rain
35:06.0,Wind
35:41.1,Normal
35:48.0,Snow
36:41.1,Rain
37:12.0,Wind
38:26.1,Normal
38:32.1,Snow
39:08.0,Rain
39:17.0,Wind
39:25.1,Normal
39:29.1,Snow
39:32.1,Rain
39:48.0,Wind
40:04.0,Normal
40:04.0,Snow
40:06.1,Rain
40:42.0,Snow
40:44.0,Rain
40:46.1,Wind
41:07.0,Normal
41:55.0,Snow
41:58.1,Rain
42:08.1,Wind
42:25.0,Normal
43:41.1,Snow
43:47.0,Rain
44:40.0,Wind
46:51.1,Normal
